HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,200%,R17,Waste,Grid,45.946486,1.653935,1.653935,544.251144,503.426387,1204.669732,98.316212,971.316795,6.633383,4.027411,46.196774,14.214392,204.023908,0.0,3.435145,30.904458,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,All,R11x,Hydro,Grid,1.271619,0.045774,0.045774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,All,R16,Solar,Grid,0.236998,0.008531,0.008531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,All,R16,Solar,OwnConsumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,All,R18,WindOffshore,Grid,1174.767905,42.288113,42.288113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,All,R19,WindOnshore,Grid,1331.803113,47.940909,47.940909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R01-1,BioGas,Grid,43.366915,1.561079,1.561079,403.080662,0.0,761.232532,180.962268,1802.376266,89.491654,3846.883643,2763.012745,14.223654,0.0,0.0,23.956943,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R01-2,Straw,Grid,7.068426,0.254442,0.254442,114.077541,0.0,1613.903048,790.812494,2017.37881,12.588444,7.585344,1081.315042,17.752934,14.557405,6.294222,37.11977,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R01-3,Wood,Grid,72.211793,2.599407,2.599407,866.995991,0.0,1241.450762,25.050071,416.492412,103.018411,39.162488,1117.458405,10.392064,10.829677,4.682455,50.458803,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R04x,FossilGas,Grid,9.273329,0.333812,0.333812,15.364106,93.498078,93.498078,0.736693,108.870096,38.104546,190.097272,31.522514,1.483193,0.0,0.0,0.424865,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R05x,Coal,Grid,88.236112,3.176235,3.176235,973.982465,1043.235934,1043.235934,110.383656,187.652215,11.038366,9.934529,110.383656,8.830692,8.543695,49.63953,33.115097,0.0,18.047728
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R06x,Fossil Oil,Grid,3.827032,0.137762,0.137762,45.70628,940.857871,940.857871,1156.828129,1638.793713,9.562977,10.101986,166.914056,8.345478,0.0,0.0,43.154816,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,Total,R17,Waste,Grid,45.946486,1.653935,1.653935,975.046182,901.907112,2158.210665,176.137154,1740.150192,11.883953,7.215257,82.763241,25.465613,365.516426,0.0,6.15419,55.366486,0.0
